"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"12/03/2025","42,250.0","43,100.0","43,350.0","42,250.0","1.81M","-1.97%"
"11/03/2025","43,100.0","43,050.0","43,300.0","42,950.0","1.60M","-1.93%"
"10/03/2025","43,950.0","44,500.0","44,500.0","43,900.0","910.00K","-0.90%"
"07/03/2025","44,350.0","44,800.0","44,850.0","44,300.0","596.20K","-0.56%"
"06/03/2025","44,600.0","44,150.0","44,800.0","44,000.0","1.05M","1.36%"
"05/03/2025","44,000.0","44,150.0","44,650.0","44,000.0","644.90K","-0.34%"
"04/03/2025","44,150.0","44,150.0","44,250.0","43,850.0","1.09M","-0.45%"
"03/03/2025","44,350.0","44,400.0","44,800.0","44,300.0","646.40K","-0.11%"
"28/02/2025","44,400.0","44,450.0","44,650.0","44,250.0","793.90K","-0.11%"
"27/02/2025","44,450.0","44,900.0","44,900.0","44,300.0","526.30K","-0.34%"
"26/02/2025","44,600.0","44,250.0","45,000.0","44,200.0","952.60K","0.90%"
"25/02/2025","44,200.0","44,300.0","44,600.0","44,000.0","939.90K","0.11%"
"24/02/2025","44,150.0","44,700.0","44,700.0","44,000.0","1.67M","-1.23%"
"21/02/2025","44,700.0","45,000.0","45,000.0","44,550.0","880.00K","-0.45%"
"20/02/2025","44,900.0","45,350.0","45,450.0","44,850.0","676.70K","-0.77%"
"19/02/2025","45,250.0","44,650.0","45,300.0","44,500.0","1.06M","1.46%"
"18/02/2025","44,600.0","44,600.0","44,900.0","44,500.0","590.50K","0.11%"
"17/02/2025","44,550.0","45,000.0","45,000.0","44,550.0","917.40K","-1.00%"
"14/02/2025","45,000.0","45,600.0","45,600.0","45,000.0","811.20K","-0.55%"
"13/02/2025","45,250.0","45,500.0","45,500.0","45,000.0","564.50K","-0.22%"
"12/02/2025","45,350.0","44,800.0","45,750.0","44,800.0","862.70K","1.57%"
"11/02/2025","44,650.0","44,300.0","44,850.0","44,150.0","800.40K","1.36%"
"10/02/2025","44,050.0","44,950.0","44,950.0","44,050.0","1.85M","-2.00%"
"07/02/2025","44,950.0","45,200.0","45,300.0","44,950.0","928.40K","-0.55%"
"06/02/2025","45,200.0","46,000.0","46,100.0","45,000.0","745.50K","-1.31%"
"05/02/2025","45,800.0","45,600.0","46,000.0","45,350.0","773.10K","0.88%"
"04/02/2025","45,400.0","45,200.0","45,500.0","45,050.0","794.80K","1.34%"
"03/02/2025","44,800.0","44,300.0","45,550.0","44,300.0","1.99M","-4.88%"
"24/01/2025","47,100.0","47,600.0","47,900.0","46,900.0","730.30K","-0.84%"
"23/01/2025","47,500.0","47,000.0","48,200.0","46,800.0","882.60K","2.37%"
"22/01/2025","46,400.0","47,000.0","47,350.0","46,400.0","544.40K","-1.17%"
"21/01/2025","46,950.0","46,650.0","47,450.0","46,650.0","670.00K","0.75%"
"20/01/2025","46,600.0","47,800.0","47,800.0","46,600.0","674.10K","-1.79%"
"17/01/2025","47,450.0","46,100.0","47,500.0","46,000.0","1.36M","2.93%"
"16/01/2025","46,100.0","45,800.0","46,400.0","45,500.0","956.90K","2.22%"
"15/01/2025","45,100.0","45,200.0","45,300.0","45,000.0","466.80K","0.67%"
"14/01/2025","44,800.0","45,300.0","45,450.0","44,800.0","585.60K","0.00%"
"13/01/2025","44,800.0","44,300.0","44,900.0","43,900.0","1.58M","0.34%"
"10/01/2025","44,650.0","46,000.0","46,400.0","44,650.0","1.78M","-2.93%"
"09/01/2025","46,000.0","47,300.0","47,450.0","46,000.0","1.64M","-2.54%"
"08/01/2025","47,200.0","48,250.0","48,250.0","47,000.0","1.77M","-1.97%"
"07/01/2025","48,150.0","49,100.0","49,300.0","48,000.0","1.65M","-1.73%"
"06/01/2025","49,000.0","49,400.0","49,750.0","48,500.0","1.15M","-0.71%"
"03/01/2025","49,350.0","49,300.0","50,400.0","49,250.0","1.89M","0.10%"
"02/01/2025","49,300.0","49,500.0","49,500.0","49,000.0","513.00K","0.10%"
"31/12/2024","49,250.0","49,300.0","49,850.0","48,950.0","957.30K","0.31%"
"30/12/2024","49,100.0","49,000.0","49,500.0","49,000.0","963.70K","1.11%"
"27/12/2024","48,559.0","49,730.0","49,910.0","48,468.0","3.60M","-2.71%"
"26/12/2024","49,910.0","50,811.0","50,811.0","49,910.0","1.56M","-0.89%"
"25/12/2024","50,360.0","50,270.0","50,991.0","49,910.0","2.29M","1.63%"
"24/12/2024","49,550.0","50,270.0","50,631.0","49,279.0","2.52M","-1.43%"
"23/12/2024","50,270.0","51,081.0","51,261.0","50,090.0","2.64M","-1.24%"
"20/12/2024","50,901.0","51,171.0","51,622.0","50,721.0","2.37M","0.00%"
"19/12/2024","50,901.0","49,550.0","51,081.0","49,099.0","3.31M","1.62%"
"18/12/2024","50,090.0","49,640.0","50,270.0","49,640.0","1.54M","1.09%"
"17/12/2024","49,550.0","50,180.0","50,360.0","49,369.0","1.21M","-1.26%"
"16/12/2024","50,180.0","49,099.0","50,270.0","48,829.0","2.04M","2.77%"
"13/12/2024","48,829.0","49,820.0","50,090.0","48,829.0","3.46M","-2.69%"
"12/12/2024","50,180.0","51,441.0","51,892.0","50,180.0","2.85M","-2.28%"
"11/12/2024","51,351.0","51,261.0","52,613.0","50,991.0","2.49M","0.71%"
"10/12/2024","50,991.0","51,081.0","51,441.0","50,090.0","3.29M","-0.18%"
"09/12/2024","51,081.0","52,613.0","52,703.0","50,991.0","3.02M","-2.07%"
"06/12/2024","52,162.0","52,793.0","53,514.0","51,712.0","3.18M","1.58%"
"05/12/2024","51,351.0","50,991.0","52,072.0","50,090.0","4.08M","0.88%"
"04/12/2024","50,901.0","52,523.0","52,523.0","50,901.0","3.26M","-3.09%"
"03/12/2024","52,523.0","50,811.0","53,784.0","50,631.0","4.83M","3.55%"
"02/12/2024","50,721.0","51,982.0","51,982.0","50,270.0","1.91M","-0.88%"
"29/11/2024","51,171.0","49,189.0","51,802.0","49,189.0","4.01M","4.41%"
"28/11/2024","49,009.0","49,099.0","50,000.0","48,468.0","2.46M","0.74%"
"27/11/2024","48,649.0","47,928.0","49,279.0","47,568.0","2.63M","1.31%"
"26/11/2024","48,018.0","47,477.0","48,288.0","46,847.0","1.92M","0.95%"
"25/11/2024","47,568.0","47,477.0","48,198.0","46,486.0","2.45M","-0.94%"
"22/11/2024","48,018.0","49,009.0","50,000.0","47,838.0","2.36M","-1.30%"
"21/11/2024","48,649.0","48,468.0","48,649.0","47,297.0","1.17M","0.37%"
"20/11/2024","48,468.0","47,748.0","48,559.0","45,496.0","3.06M","0.19%"
"19/11/2024","48,378.0","52,162.0","52,162.0","48,378.0","3.39M","-6.93%"
"18/11/2024","51,982.0","52,162.0","52,252.0","50,450.0","1.79M","-0.35%"
"15/11/2024","52,162.0","50,631.0","52,703.0","49,279.0","5.12M","1.58%"
"14/11/2024","51,351.0","53,153.0","53,604.0","50,631.0","2.91M","-3.06%"
"13/11/2024","52,973.0","51,802.0","52,973.0","51,351.0","3.33M","0.68%"
"12/11/2024","52,613.0","52,703.0","52,973.0","50,901.0","3.13M","1.74%"
"11/11/2024","51,712.0","49,189.0","51,712.0","49,189.0","8.30M","6.89%"
"08/11/2024","48,378.0","48,198.0","49,730.0","47,928.0","5.43M","1.32%"
"07/11/2024","47,748.0","46,757.0","49,279.0","46,306.0","4.65M","3.52%"
"06/11/2024","46,126.0","46,036.0","46,216.0","45,766.0","583.42K","1.38%"
"05/11/2024","45,496.0","45,676.0","46,216.0","45,496.0","659.45K","-1.56%"
"04/11/2024","46,216.0","45,496.0","46,306.0","45,045.0","744.37K","1.38%"
"01/11/2024","45,586.0","46,486.0","46,577.0","45,586.0","1.11M","-2.50%"
"31/10/2024","46,757.0","47,568.0","47,568.0","46,757.0","454.99K","-1.52%"
"30/10/2024","47,477.0","48,018.0","48,018.0","47,117.0","339.44K","-0.19%"
