,news_count,news_avg_title_len,news_avg_summary_len,news_llm_sentiment,div_event_count,div_total_vnd,div_total_bonus_ratio,it_event_count,it_total_executed_vol,meeting_event_count
2023-05-04,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,9.0,1954643.0,1.0
2023-05-05,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-06,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-07,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-08,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-09,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-10,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-11,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-12,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-13,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-14,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-15,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-16,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-17,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-18,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-19,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-20,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-21,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-22,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-23,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-24,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-25,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-26,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-27,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-28,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-29,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-30,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-05-31,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-01,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-02,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-03,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-04,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-05,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-06,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-07,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-08,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-09,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-10,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-11,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-12,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-13,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-14,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-15,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-16,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
2023-06-17,1.0,160.0,2103.0,0.0,2.0,1000.0,6.666666666666667,1.0,-4000000.0,1.0
