feature,importance
predict_value,178
Change %,174
Close_ma_3_days,157
Change %_lags_1_days,134
Change %_ma_3_days,130
Volume_lags_1_days,119
Volume,102
Volume_lags_2_days,98
Change %_ma_7_days,93
Volume_ma_7_days,91
Change %_lags_2_days,88
Change %_lags_3_days,85
Change %_lags_4_days,84
Prob_up,80
Volume_ma_3_days,77
Volume_lags_3_days,77
Close_lags_1_days,76
Change %_lags_7_days,74
Volume_lags_7_days,68
Change %_lags_6_days,67
Change %_lags_5_days,65
Volume_lags_4_days,65
Volume_lags_5_days,63
Volume_lags_6_days,56
predict_value_lags_3_days,48
Close_ma_7_days,47
Close_lags_6_days,43
predict_value_lags_6_days,40
Close_lags_7_days,40
predict_value_ma_3_days,39
predict_value_lags_1_days,33
Close_lags_3_days,32
Close_lags_2_days,32
predict_value_lags_5_days,32
predict_value_lags_7_days,32
Close_lags_5_days,28
predict_value_lags_4_days,27
predict_value_ma_7_days,26
Close_lags_4_days,20
predict_value_lags_2_days,19
it_total_executed_vol_lags_7_days,19
it_total_executed_vol,13
it_total_executed_vol_lags_4_days,12
it_total_executed_vol_ma_7_days,11
it_total_executed_vol_ma_3_days,9
it_total_executed_vol_lags_5_days,9
it_total_executed_vol_lags_2_days,9
it_total_executed_vol_lags_6_days,8
it_total_executed_vol_lags_3_days,6
it_total_executed_vol_lags_1_days,3
it_event_count_lags_7_days,2
div_event_count,1
it_event_count_ma_7_days,1
it_event_count,1
it_event_count_lags_2_days,0
it_event_count_lags_1_days,0
it_event_count_ma_3_days,0
div_total_bonus_ratio_lags_7_days,0
div_total_bonus_ratio_lags_6_days,0
div_total_bonus_ratio_lags_5_days,0
div_total_bonus_ratio_lags_4_days,0
it_event_count_lags_4_days,0
it_event_count_lags_3_days,0
meeting_event_count_lags_5_days,0
it_event_count_lags_5_days,0
it_event_count_lags_6_days,0
meeting_event_count_ma_3_days,0
meeting_event_count_ma_7_days,0
meeting_event_count_lags_1_days,0
meeting_event_count_lags_2_days,0
meeting_event_count_lags_3_days,0
meeting_event_count_lags_4_days,0
div_total_bonus_ratio_lags_2_days,0
meeting_event_count_lags_6_days,0
meeting_event_count_lags_7_days,0
div_total_bonus_ratio_lags_3_days,0
div_total_vnd_lags_1_days,0
div_total_bonus_ratio_lags_1_days,0
news_count_lags_4_days,0
news_llm_sentiment_lags_3_days,0
news_llm_sentiment_lags_2_days,0
news_llm_sentiment_lags_1_days,0
news_llm_sentiment_ma_7_days,0
news_llm_sentiment_ma_3_days,0
news_count_lags_7_days,0
news_count_lags_6_days,0
news_count_lags_5_days,0
news_count_lags_3_days,0
news_llm_sentiment_lags_5_days,0
news_count_lags_2_days,0
news_count_lags_1_days,0
news_count_ma_7_days,0
news_count_ma_3_days,0
news_llm_sentiment,0
div_total_vnd,0
div_total_bonus_ratio,0
meeting_event_count,0
news_llm_sentiment_lags_4_days,0
news_llm_sentiment_lags_6_days,0
div_total_bonus_ratio_ma_7_days,0
div_total_vnd_ma_3_days,0
div_total_bonus_ratio_ma_3_days,0
div_total_vnd_lags_7_days,0
div_total_vnd_lags_6_days,0
div_total_vnd_lags_5_days,0
div_total_vnd_lags_4_days,0
div_total_vnd_lags_3_days,0
div_total_vnd_lags_2_days,0
div_total_vnd_ma_7_days,0
div_event_count_lags_7_days,0
news_llm_sentiment_lags_7_days,0
div_event_count_lags_6_days,0
div_event_count_lags_5_days,0
div_event_count_lags_4_days,0
news_count,0
div_event_count_lags_2_days,0
div_event_count_lags_1_days,0
div_event_count_ma_7_days,0
div_event_count_ma_3_days,0
div_event_count_lags_3_days,0
