feature,importance
Close_ma_3_days,0.6241964
predict_value,0.2126146
predict_value_lags_6_days,0.1265392
Close_lags_3_days,0.009240874
predict_value_ma_3_days,0.007205989
Close_lags_4_days,0.004132989
Close_lags_5_days,0.003689007
Close_lags_2_days,0.0036608183
Close_lags_1_days,0.0028320306
Close_lags_6_days,0.0013722528
predict_value_lags_7_days,0.0011462822
it_total_executed_vol,0.0010023685
predict_value_lags_5_days,0.0006940237
predict_value_lags_1_days,0.00020508042
news_llm_sentiment_ma_7_days,0.0002006574
Prob_up,0.00017129825
Change %_ma_3_days,0.00014724527
Change %_ma_7_days,0.00010516114
Change %,0.00010026774
news_llm_sentiment_lags_4_days,6.32582e-05
news_count_lags_5_days,5.734327e-05
div_event_count_ma_3_days,5.5368255e-05
predict_value_lags_4_days,5.066277e-05
Change %_lags_1_days,4.5049386e-05
Close_lags_7_days,4.2224994e-05
news_llm_sentiment,3.9836774e-05
Volume_lags_2_days,3.1567062e-05
Volume_ma_7_days,2.6835221e-05
Close_ma_7_days,2.4860803e-05
news_llm_sentiment_lags_7_days,2.4096138e-05
news_llm_sentiment_ma_3_days,2.3182885e-05
predict_value_lags_3_days,2.2838449e-05
Change %_lags_3_days,2.038765e-05
Volume_lags_5_days,1.8091072e-05
Volume_ma_3_days,1.766554e-05
Volume,1.623937e-05
Volume_lags_7_days,1.4753574e-05
Volume_lags_1_days,1.4725583e-05
Change %_lags_2_days,1.31277775e-05
Volume_lags_4_days,1.3034327e-05
Volume_lags_3_days,1.1890293e-05
Change %_lags_5_days,1.09082e-05
Change %_lags_7_days,1.0292415e-05
Change %_lags_6_days,1.0283895e-05
Change %_lags_4_days,9.055294e-06
Volume_lags_6_days,8.805384e-06
news_llm_sentiment_lags_2_days,5.4000243e-06
it_total_executed_vol_ma_3_days,5.011328e-06
news_count_ma_3_days,4.9902364e-06
news_count_ma_7_days,4.9636806e-06
predict_value_ma_7_days,4.719827e-06
news_llm_sentiment_lags_3_days,4.421388e-06
news_count_lags_4_days,4.3735467e-06
predict_value_lags_2_days,3.6565261e-06
news_count,3.5337107e-06
news_llm_sentiment_lags_6_days,3.4540817e-06
it_event_count_lags_4_days,1.6987514e-06
div_event_count,7.947645e-07
it_total_executed_vol_lags_6_days,0.0
it_event_count_lags_5_days,0.0
it_event_count_lags_6_days,0.0
it_event_count_lags_7_days,0.0
it_event_count_lags_3_days,0.0
it_total_executed_vol_ma_7_days,0.0
it_total_executed_vol_lags_1_days,0.0
it_total_executed_vol_lags_2_days,0.0
it_total_executed_vol_lags_3_days,0.0
it_total_executed_vol_lags_4_days,0.0
it_total_executed_vol_lags_5_days,0.0
meeting_event_count_lags_3_days,0.0
it_total_executed_vol_lags_7_days,0.0
meeting_event_count_ma_3_days,0.0
meeting_event_count_ma_7_days,0.0
meeting_event_count_lags_1_days,0.0
meeting_event_count_lags_2_days,0.0
div_total_bonus_ratio,0.0
meeting_event_count_lags_4_days,0.0
meeting_event_count_lags_5_days,0.0
meeting_event_count_lags_6_days,0.0
it_event_count_lags_1_days,0.0
meeting_event_count_lags_7_days,0.0
meeting_event_count,0.0
div_total_vnd,0.0
it_event_count,0.0
it_event_count_lags_2_days,0.0
div_total_bonus_ratio_lags_3_days,0.0
it_event_count_ma_7_days,0.0
div_event_count_ma_7_days,0.0
div_event_count_lags_7_days,0.0
div_event_count_lags_6_days,0.0
div_event_count_lags_5_days,0.0
div_event_count_lags_4_days,0.0
div_event_count_lags_2_days,0.0
div_event_count_lags_1_days,0.0
news_llm_sentiment_lags_5_days,0.0
it_event_count_ma_3_days,0.0
news_llm_sentiment_lags_1_days,0.0
news_count_lags_7_days,0.0
news_count_lags_6_days,0.0
news_count_lags_3_days,0.0
news_count_lags_2_days,0.0
news_count_lags_1_days,0.0
div_total_vnd_ma_3_days,0.0
div_total_vnd_ma_7_days,0.0
div_total_vnd_lags_1_days,0.0
div_total_vnd_lags_2_days,0.0
div_total_vnd_lags_3_days,0.0
div_total_vnd_lags_4_days,0.0
div_total_vnd_lags_5_days,0.0
div_total_vnd_lags_6_days,0.0
div_total_vnd_lags_7_days,0.0
div_total_bonus_ratio_ma_3_days,0.0
div_total_bonus_ratio_ma_7_days,0.0
div_total_bonus_ratio_lags_1_days,0.0
div_total_bonus_ratio_lags_2_days,0.0
div_total_bonus_ratio_lags_4_days,0.0
div_total_bonus_ratio_lags_5_days,0.0
div_total_bonus_ratio_lags_6_days,0.0
div_total_bonus_ratio_lags_7_days,0.0
div_event_count_lags_3_days,0.0
