feature,importance
price_Close_ma_3_days,0.8175091419258781
price_Close_ma_7_days,0.09327112672422211
CMG_financial_data_processed_P/E cơ bản (daily)_ma_7_days,0.023932934115595914
CMG_financial_data_processed_EPS 4 quý (daily)_ma_3_days,0.008559053154609447
CMG_financial_data_processed_P/E cơ bản (daily),0.006103293180091626
CMG_financial_data_processed_EPS 4 quý (daily),0.006034261630224269
CMG_financial_data_processed_P/E cơ bản (daily)_lag_1,0.005302753979644357
CMG_financial_data_processed_P/E cơ bản (daily)_lag_2,0.004629496013031303
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_EQ_Turn (daily)_ma_7_days,0.00286372054079613
CMG_financial_data_processed_EPS 4 quý (daily)_lag_1,0.0027896565139577936
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_ST/TD (daily)_ma_7_days,0.0023435467665415617
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_GVHB/DTT (daily)_ma_7_days,0.0016137385422630296
CMG_financial_data_processed_P/E cơ bản (daily)_lag_3,0.0014577627875853694
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_P/E (daily)_ma_7_days,0.0014043082565166705
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_EQ_Turn (daily)_lag_5,0.0010772756383687586
CMG_financial_data_processed_EPS 4 quý (daily)_lag_2,0.0010347208254751449
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_GROW_LNST (daily)_ma_7_days,0.0009925875203116929
CMG_financial_data_processed_ROAA (daily),0.0009500920844333304
CMG_financial_data_processed_ROS (daily),0.0009409718208526834
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_CR (daily)_lag_1,0.0008598322588879684
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_TA_Turn (daily),0.0008422634998219475
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_P/B (daily)_lag_4,0.0007903716145105228
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_PT (daily)_ma_3_days,0.0007428860825380874
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_PT (daily)_ma_7_days,0.0007303463145258197
price_Volume_ma_3_days,0.000730155434577773
