feature,importance
CMG_foreign_detail_transactions_processed_price_Close_ma_3_days,2.9168764849818096
CMG_foreign_detail_transactions_processed_price_Close_lag_2,1.000000000000045
CMG_foreign_detail_transactions_processed_price_Close_lag_1,1.0000000000000195
CMG_foreign_detail_transactions_processed_Remaining Room Shares_lag_1,2.596811654598241e-12
CMG_foreign_detail_transactions_processed_Remaining Room Shares_lag_6,2.2946089472952735e-12
CMG_foreign_detail_transactions_processed_Remaining Room Shares_ma_3_days,1.2572165530855273e-12
CMG_foreign_detail_transactions_processed_Remaining Room %_lag_7,9.5050356474502e-13
CMG_foreign_detail_transactions_processed_Remaining Room Shares_lag_7,7.048944761223197e-13
CMG_foreign_detail_transactions_processed_Remaining Room %_lag_6,5.936640068426868e-13
CMG_foreign_detail_transactions_processed_foreign_ownership_perc_calc_lag_1,4.2137127120867035e-13
CMG_foreign_detail_transactions_processed_foreign_ownership_perc_calc_lag_3,3.824440764077508e-13
CMG_foreign_detail_transactions_processed_foreign_ownership_perc_calc_ma_3_days,3.713834795249227e-13
CMG_foreign_detail_transactions_processed_foreign_ownership_perc_change_lag_6,3.5292602174052945e-13
CMG_foreign_detail_transactions_processed_foreign_ownership_perc_change_lag_1,2.0266774369837037e-13
CMG_foreign_detail_transactions_processed_foreign_ownership_perc_change,1.1503992203287794e-13
CMG_foreign_detail_transactions_processed_Remaining Room %_lag_3,9.676981438389021e-14
CMG_foreign_detail_transactions_processed_foreign_ownership_perc_change_lag_2,9.431344594190705e-14
CMG_foreign_detail_transactions_processed_Remaining Room %_ma_3_days,5.911937606128959e-14
CMG_foreign_detail_transactions_processed_Matched Sell Volume_lag_1,4.657385588302532e-14
VN_Index_Open_ma_7_days,4.646977247446671e-14
CMG_foreign_detail_transactions_processed_total_net_volume_nn_lag_1,4.0875289264441506e-14
VN_Index_Close_vnindex_ma_7_days,3.429201367310952e-14
CMG_foreign_detail_transactions_processed_Matched Sell Volume_market_ma_7_days,2.781802566076408e-14
CMG_foreign_detail_transactions_processed_price_Close_lag_3,2.0539125955565396e-14
CMG_foreign_detail_transactions_processed_price_Close_ma_7_days,1.8540724511240114e-14
VN_Index_Actual price change,1.6993351170668802e-14
CMG_foreign_detail_transactions_processed_total_net_value_nn,1.3988810110276972e-14
VN_Index_Change %,1.2682563332866437e-14
