feature,importance
FPT_foreign_detail_transactions_processed_price_Close_ma_3_days,2.9140356088270085
FPT_foreign_detail_transactions_processed_price_Close_lag_2,0.9947582688308945
FPT_foreign_detail_transactions_processed_price_Close_lag_1,0.9947582688308662
Change %,6.940229118775665e-15
FPT_foreign_detail_transactions_processed_price_Close_lag_3,6.6500449240196764e-15
FPT_foreign_detail_transactions_processed_Remaining Room Shares_lag_3,2.834176980783882e-15
FPT_foreign_detail_transactions_processed_foreign_ownership_perc_calc_lag_4,2.821544887928002e-15
FPT_foreign_detail_transactions_processed_price_Change %_ma_3_days,2.72719686512869e-15
FPT_foreign_detail_transactions_processed_price_Close_lag_4,2.0458317801526304e-15
VN_Index_Intraday price (range)_ma_7_days,1.9869210015774017e-15
VN_Index_Intraday percentage volatility_ma_7_days,1.626023192749412e-15
FPT_foreign_detail_transactions_processed_price_Close_lag_5,8.799431780632226e-16
FPT_foreign_detail_transactions_processed_Remaining Room Volume_market_ma_3_days,7.433518897055323e-16
VN_Index_Open_ma_3_days,7.409307689151157e-16
FPT_foreign_detail_transactions_processed_price_Change %_ma_7_days,5.434183876726174e-16
FPT_foreign_detail_transactions_processed_price_Volume_ma_7_days,5.067833860458498e-16
FPT_foreign_detail_transactions_processed_price_Close_lag_6,4.609323385886337e-16
FPT_foreign_detail_transactions_processed_Negotiated Sell Volume_ma_7_days,4.1579854565728195e-16
FPT_foreign_detail_transactions_processed_Foreign Investor Room_ma_7_days,3.877707561425013e-16
FPT_foreign_detail_transactions_processed_Negotiated Sell Volume_lag_4,3.095422619623929e-16
Prob_up,2.3651676300461326e-16
FPT_foreign_detail_transactions_processed_Matched Buy Value_market_ma_7_days,2.284456436397834e-16
FPT_foreign_detail_transactions_processed_Matched Sell Value_lag_3,1.886859667781847e-16
FPT_foreign_detail_transactions_processed_Matched Buy Volume_ma_3_days,1.666059458266956e-16
VN_Index_Intraday price (range)_ma_3_days,1.435885740871213e-16
FPT_foreign_detail_transactions_processed_Foreign Ownership %_market_lag_1,9.168289744346122e-17
